player_name,elo,averagetime,besttime,wins,losses
qHJWp,764,1594117.529,1159829,92,105
ospoken,832,1327994.463,821792,162,136
limrr,1188,1158688.267,820043,139,128
Multimade,411,2944509.857,2186468,17,17
90minsofmadness,523,2423430,2090856,5,6
PinkFloura,494,1424534,1424534,22,26
Wikboy,557,2031058.25,1757575,27,19
Ronin_147,806,1663578.25,911018,34,28
drainedxbrain,901,1702663.922,946987,197,162
Splater44,1227,1612912.32,945802,179,129
Blur6896,621,2141297.833,1271149,54,46
EndyYTB,888,1576055.958,1087734,66,59
woop1mcsr,881,1284448.617,888786,131,137
Trals,598,2813499.364,2255113,33,19
Burken32,731,1462285.417,957016,41,37
Blizzard17,1015,1433138.92,979216,72,56
Gadan_,1031,1274149.942,840667,500,513
StarGazxr,969,1607138,900199,117,75
carterg21316,892,1770188.117,1018829,177,157
CobwebbyCloud47,479,2500362.25,2195493,59,49
scytf,733,1703236.25,1318623,11,9
Ellliess,370,3223780.667,2327348,16,9
Lakana0451,668,1588249.083,874603,69,57
Lintraveller,659,2174047.389,1410427,191,192
PLNTIX,825,1300204.333,993735,21,9
Kleptopitek,1335,1134844.175,643434,1375,1351
riisi1234,647,1816538.375,1141447,29,23
Crazywhw,1551,837220.7976,546892,126,98
Albasel,668,1627669.413,1078463,196,187
GewoonJellis,854,1682588.765,1096912,79,58
EpicFailzPvP,1087,1622266.062,922118,94,61
Rebelkarate22,348,2889062.667,2423197,14,13
o8l5,852,1473209.333,1212576,51,60
anixivity,,1617149,1400338,25,37
Jjjames8221,733,1709882.516,1282234,104,107
It_Kenz,634,2589578,2589578,14,7
leesown,730,1494307.583,1103706,49,53
Paroxysm,996,1362787,1123146,9,4
Koalaah_,688,1652823.333,1275678,51,71
smileyboob,735,1629724.923,1049267,51,56
Maraico,1769,732196.0414,417343,2170,1935
Skyric300,1452,1149184.973,596661,532,524
ahsheh,358,2168943.6,1541222,30,50
Giannichu,655,2351654.333,1671075,22,12
DaSteen,1034,2034855.605,1322563,77,48
P_wie_Paul,560,1577930,1060051,35,39
alvinzhao960,691,2316744.083,1384725,32,17
whyU_,640,1681949.857,1191725,52,45
DonutHole_Jr,583,2012491,1413976,43,40
Danni8182,687,1828666.735,1037465,151,133
Vilrax_,914,1213441.622,702189,590,641
pirateKing794,619,2584723.5,1916411,28,21
Toffeepenguin,687,1382464,1166146,11,10
racer32119,583,2013812,1720873,55,66
RaTheMoonGod,585,1608054.6,1276331,12,11
_SmallChild,682,1902559.25,1525063,16,7
PabloThePenguino,1170,985150.2059,654265,100,127
Jangue,931,1032975,807917,50,94
J8li,697,1514045.97,966934,123,109
tykos5,684,1712415.714,1245575,21,9
Baker1021,619,2019283,2019283,17,18
Lilipower1,970,1704011.171,976820,61,29
Rajpe,563,2182003.048,1417467,73,70
Popin_Meagonz,518,2014022,2014022,9,15
spacepirate001,717,2026466,1315176,46,38
_sennahoJ_,786,1449889.4,1351425,30,63
Depth2122,1028,1318095,1058183,7,6
Sapiens_Ranae,635,1765665.7,1305244,46,47
realfoxirl,,1675382,1336552,8,4
Feelnaight,1017,1360444.733,914493,110,121
OhBongo,1168,1275555.72,746286,381,383
gitstash,335,2956109,2804836,34,48
sellvyy,927,1185726.991,760291,478,507
Rickezinho,671,1148321.069,856070,85,99
WeeLizard15,917,1449257.444,923401,222,205
briux,1224,1143706.612,636558,312,283
Argmus,667,1887843.143,1332313,41,36
Murkyshadow72,792,1482597.2,1157236,19,7
_wqm,910,1313309.34,899373,187,185
IggI71,441,2802311.5,2137066,58,56
whepyyy,826,1927031.9,1244476,27,12
TestFiles,1182,1186286.163,679378,140,105
SettledNomad01,774,1786901,1289601,71,65
Arfix,792,1967835.409,1277646,82,48
iFantastic,1216,966336.4873,602288,624,640
LocrianLion,1276,1097857.339,628226,376,355
Sivakka_,1167,1588655.698,928544,76,39
Doqvii,1266,1147242.342,645418,103,87
shazaamtopher,949,1672600.3,998681,121,88
lava_17,902,1722108.682,915387,44,24
chrisbg,721,1942876.667,1287724,65,46
4zcr,813,1527697,1178162,49,33
Sirrus17,666,1654506.333,1048783,66,67
PedrofBuga28,391,2392627,2392627,12,16
Ulrissex,717,1936437.176,1421281,67,55
amater4suu,667,1638443.667,1378452,24,23
AlienAuthor2054,687,2536621.667,2090818,25,13
GeorgeIsNoob,731,1388892.167,976519,134,160
Jonnyzistic,1170,1054009.286,748482,111,102
wowstef,933,1470355.772,1056578,243,226
PELAHMCSR,845,1101570.919,724382,159,200
vladoo34545,1212,1143520.482,674069,246,200
Heptomino,1240,1000547.845,699476,188,197
Scythebrine_,914,1667247.9,1248211,17,15
pachirisu314,1120,1038159.526,610490,767,807
spesium,1253,1009715.739,691803,242,201
Noobovic137,569,2737183,2737183,9,16
KansaiPoletop,1384,979522.55,636265,218,209
Molong4,798,1480714.429,1175236,41,32
Bazinga30,923,1321901.059,907244,32,36
Thulium_1,707,1454023.353,938091,180,197
9810374541036513,795,1507063.722,1026277,83,62
Plutox_x_,709,1491618.87,890559,130,185
libark,1601,830663.2749,436045,646,588
Feating,957,1412949.417,1065450,31,36
Borgerd,472,2301545,2301545,6,9
SchulteZ1,938,1616847.571,904366,120,97
Isaacbooknerd,918,1808609.491,921716,104,70
flashnet,1299,1439525.317,813542,196,147
stompyOne,1105,1446607.667,943881,72,42
davisssimq,1015,1048136.254,668753,122,127
Yxto,1768,641393.8214,510232,34,8
_Camz_,593,2151323.5,2122374,12,12
yungroofest,549,2480887,1205604,18,22
NoahTheZy,1015,1199345.864,808879,83,91
walter00711,563,3031451.5,2850322,17,9
Jurrehuus,926,1566544,873148,121,94
jung3000,363,3992426,3992426,6,10
Focusingpancakes,924,1124072.75,913107,19,12
Shiba73,530,2007270,1621923,13,9
2bearcat,731,1947334.45,1126420,65,44
SafetyBacon,476,2164285.8,1874274,48,65
Andypandee,625,2163774,2163774,13,21
SiggiPiggi,1175,1240852.217,852297,36,26
RAGElite,1055,1456829.333,857412,188,172
robensohn,686,1589731.294,987365,136,143
MCMEME420,529,2203419,1858518,33,33
lorcha,1009,1350806.581,936030,196,209
Yuriwastaken,829,1380466.833,714321,126,103
fornothiing,579,2250099.333,1884988,37,43
jamesvalor,793,1386375.277,834458,192,201
HINIeong,269,4063415,3889987,28,49
Highmore_IS3,685,2227034.571,1362593,40,22
maitrecraft1234,1505,847697.3248,475719,2062,2029
RokeT1,787,1527034.333,1187811,13,24
vViperrr,825,1539031.412,1109452,56,30
FuzzyFury,704,1686512.5,1063443,71,66
LudvigGnagF10,207,1933206.4,1523770,20,34
RollingRenny,813,1871202.571,1222992,80,66
Araf_OP2,767,1445475.471,872061,381,367
ShurikenShark,910,1645288.5,1213558,31,17
nabokatten,249,1846841,1846841,33,47
pandaplayto,353,4178519,3059298,18,25
GameerKing,588,2244916.5,2043234,26,19
AriaMCSR,1198,995136.408,591835,510,523
Cheesy_Cat,491,2526936.714,1626527,21,18
Owenish,914,1815385.093,1152666,129,102
Gold10,723,1577513.524,1071236,67,46
aXEZ_kanske_,371,2805587,1924317,32,40
Spraybz,701,2208578.107,1562545,123,108
Ranik_,1954,693225.6183,427406,3625,3153
WerhatmeinenKeks,1011,1264784.946,811522,96,106
r0emwastaken,352,2003846,2003846,22,40
Puddels,1200,1523637.786,913759,81,36
_Mxkey,351,2841043,2490504,60,73
crist0ol,575,2864293,2563239,14,9
StephenFryingPan,752,1951623.867,1135872,47,35
ogien211,1167,1306643.06,726983,212,181
styalai,523,2288201.25,1413370,36,57
Srifs_,684,1644356.063,1183717,120,116
mirailuv,1282,1129046.091,716953,209,192
Houp_Paranoik,1312,888267.6418,611166,99,83
SilkCraftLive,399,3153457,3153457,14,13
Atumameiooo,774,1460939.217,1009560,73,82
NamefakerTutel,337,3637033,3637033,21,23
AbundantPond,432,3585911,2402498,14,8
taketyann0313,413,3111655,2994507,8,19
Mr_Soccer,646,1786541.25,1277361,10,5
RobinDaBank25,999,1264844.895,868976,315,351
ImNoTrash,934,1261403.755,813133,135,136
Novastream_,236,3602812,3602812,7,11
Dagger_Goose,766,1949295.893,1544360,75,46
Seiy4_,670,2448874.9,1760284,67,57
Z1dDer,658,1429143.605,1072012,135,136
Es_Mamba,1002,1759334,931720,63,31
jeayoonkang,601,1346812.333,807437,168,219
Mending162,979,1670068.875,895621,65,36
joris5433,720,1479872.8,1089418,59,53
NoTilt_,833,1651502.105,1153449,36,19
TheMisterR,419,3159205.714,2552898,23,12
milusta,777,1562943.111,872668,99,56
luckyteapot9,410,2035246.6,1636004,40,52
szfam,1383,871049.7324,545671,644,602
BuilderBob5,440,4834906,4834906,7,5
NaukaPVP,1084,1210916.182,832506,23,27
ExcermentGaming,1558,779705.2824,526735,195,124
7ziq,1170,1255923.394,823210,77,90
KhiemGOM,904,1500291.886,995156,146,141
Eibezukunft,1319,957005.985,528871,1955,1930
Tekataku,962,1579132.949,1008015,115,81
Flome2,1031,1130507.45,834393,49,55
Dis_play_,583,1693533,1693533,10,11
The_Swedish_Fish,484,1826209,1426041,39,52
LordOfLimes__,700,1408549.22,811039,213,249
Farbwechsler,1567,876365.0526,561063,603,565
ELninojaedyn,1098,1240208.038,787145,815,797
MasterJoda18,601,3150609,2261441,24,12
CoffeePoweredd,1601,818294.8078,480538,994,936
TheSuperBacon53,783,1234815.538,895594,58,52
icyfireSC,1152,1281567.889,996153,46,23
Toadra,501,3253444.75,2323191,54,52
Th3Domis,665,1386722.71,1027745,164,181
baileboss,944,1718787.541,1082154,71,60
sssoczex,885,1470721.393,836805,126,101
_Tea_2,938,1402677.04,851650,90,68
PalimMitTim,1309,984134.6026,618461,498,491
lmsz0216,536,2676394.667,2502538,20,14
Pamusa_,1173,1795499,917614,98,63
Casssual,1817,710709.3366,447620,949,821
BluRpm,692,1688340.2,1216250,47,40
REDJEFF,707,2064878.792,1199511,64,50
Aesteri_,1258,1303224.562,871838,162,124
KaDawgz,669,1996413.667,1187938,44,40
pyzem666,376,2846141,2324042,76,80
ncva,463,3148867.667,2699244,8,7
Perex02,813,1375371.708,884254,96,120
Xcels,733,1197161.522,890431,65,87
DizzyTJ,676,1542681.083,1069342,83,101
HoppoBeans,717,1503968.882,1049330,42,37
xSkowron,917,1238714.211,937656,38,22
greenFishy,859,1781950.706,1299374,45,28
Team_Lucas2,807,1872987.421,1173350,80,56
Seandc,1113,1390429.718,857707,134,100
WallyWinter,557,1424709,1424709,4,7
Dim_Bananox,809,1244398.535,752522,336,353
lon3ly__,1194,1271168.704,816782,206,212
MinetofuCraft,1567,798642.9718,458345,2230,2157
Finley2329,860,1438495.9,1061689,158,164
pigswitch,1809,760430.223,456095,1396,1239
ulqt,1832,737174.1144,428623,3242,3053
PeteAssmeat,718,1626111,1622521,10,27
Macaroni_IRL,610,2030997.143,1770555,22,13
Asktt,631,1451296,1451296,9,2
StormyLion,648,1933014.143,1343839,65,61
quegenjin,979,1243968.211,788650,677,702
Jazzy1712,895,1382462.842,1004891,65,87
Teomor_,,1451922,1451922,3,4
Stride_lul,724,1499545.9,981474,74,86
Yuiikai,616,3024684.143,1397638,28,18
TenSHouslema,812,1375235.146,924184,91,77
Berufsberater5,,863705.25,614458,41,24
Plopkoekje7,422,1819404,1558705,16,27
zL1sa,1217,1284926.391,725195,215,168
SuperPaKa,939,1402119.652,1052753,70,60
LyingThread8,397,3393814,3393814,17,22
VentoLA_,412,2894342,2884215,5,6
LesenBlesen,427,2668328,2668328,8,16
_Tyan,921,1335143.625,1001894,237,252
insanity3829,1227,1070443.57,645286,429,408
Ellipse1924,665,1399594.193,903347,270,304
veyzh,1039,1360382.948,756816,163,133
Sqoppy,1032,1300087.081,835481,114,100
whitebangbang,663,1847749.909,1308697,49,45
ShawnOfTheBread1,339,3806019.75,3353190,43,41
Jokesterjoe41,685,1373312.455,945605,63,61
Noahpoa1167,773,1459605.292,929597,102,91
Steggles,653,1985007.6,1860203,21,9
whimsical_jhapes,1153,1069872.197,680783,737,727
xGlooper,904,1283261,1002361,17,26
RAPTOGON,647,1716172.857,1290861,24,41
L1M3D,960,1656711.013,977490,141,95
IHappyLarsyy,510,3266059,3266059,2,2
DiSToRiFy,909,1450597.383,874218,147,132
oKizmo,1018,1081974.467,742567,335,333
Wihoo,688,1569276.5,1327703,38,32
emmaroses,780,2042898.905,1062364,28,12
xiuxnow,614,1717014.444,1311512,48,35
Mastalt,942,1477365.421,987392,29,24
NicoTech,755,1304230.4,1000006,63,81
Selix96,98,2062691.667,1411153,34,56
Komik07,1126,1484484.097,975372,214,161
PeachyOwlMan,650,1931492.471,1256569,74,61
Caqen,1546,794220.3102,528799,598,566
damanda,554,2131791,1316389,53,60
Kake_YT,1452,920970.2417,503395,640,595
LavaLucky,860,1207020.611,777252,286,303
Its_sams,673,1554152.4,1055028,53,57
Blimbus_EX,659,1641295.25,1419602,9,6
CroProYT,1738,684947.8019,442200,940,765
D1Yaro,774,1504811.167,1041911,28,26
PeachHydra33896,793,1357138.167,1004346,156,197
Inariskin,652,1622935.2,1228413,28,27
1n0nly1,567,1772478.75,1438817,45,48
cameter44,1012,1834545.263,1099455,63,24
KingEdvin,1157,1340333.107,625486,92,57
Gabiiinos,383,3653031,3653031,9,19
JorgeAgar,800,1814598.842,1287920,32,23
Billy_002,1027,1313791.324,868752,67,45
khmura,784,1228824.5,1043343,22,24
PlNKPANTHERESS,634,2104870.667,1341388,26,17
GHOST_FAIL,762,1543920.588,1068805,48,39
GoadingAround,366,2853292,2853292,28,41
Kisimov,1222,943924.166,517470,1645,1678
YotamM,569,1811013.286,1350431,44,50
IgniteThunder,743,2312553.2,1742333,51,33
LAbricot__,1114,1245147.667,1069414,7,4
juanma2005,390,3938573,3938573,21,37
orotimar,616,2114758.226,1459954,208,189
Arcanza,764,1453122.5,1292192,35,69
Dejf_2007,593,2387207.375,1791567,25,17
TheYoodler,387,2668601,2668601,9,8
DodgyFrogo,583,1916909.5,1812979,11,8
MrSamHere,622,2841096.25,2292316,86,73
Doofuspie,653,2434717.286,1722206,32,26
norkg,1000,1282768.461,871865,143,143
hwsbando,574,1345559.526,947398,104,130
POSTURE07,686,1663037.222,1184093,31,25
Danozo,550,2262511.933,1766486,64,58
t_tsohg,566,2283228.625,1745683,31,28
sogier22,253,1647069.667,1499991,61,122
NGN13,903,1695624.767,969665,66,29
RobberR0bin,642,2562297.444,1852110,35,21
lizard0_o,1068,1471760.571,953587,77,52
Skedimi,625,2244952,1501732,14,8
Coltian,953,1412214.96,910930,39,25
Myino,635,2026599.375,1426372,27,16
isac6666,869,1313905.611,908707,32,23
AllofMe,1505,821636.2841,488418,1371,1287
Mabqw,874,1219177.685,804990,115,101
Flukefey,902,1445516.607,878077,60,38
kynarigod,1052,1013751.973,570404,137,145
SirSquirtsAlot,553,2218802,2022417,23,22
V3spyR,440,3478250.5,3419133,25,37
Razz253,1212,1187745.048,729996,377,355
Joey_Macaroni,436,3164203,3164203,8,11
Fredbie,885,1409214.063,1070148,36,23
FL0OX,903,1627077.094,1058652,75,50
SilverSargeant,698,2482269.267,1954521,31,18
NeonLiyte,511,1980766,1980766,7,7
Minty_Curly,700,1678783.222,1128630,67,61
char321,1314,1057966.993,647889,775,687
AwesomeVed,1263,1196824.673,743945,175,155
Lishian,1231,1292127.511,734708,88,60
hatmall1,275,3220853,2886019,31,53
Ogenes06,897,1582755.4,1017801,80,63
BeUltra,718,1362621.208,946344,80,96
Friederikus,766,1703907.2,1128416,111,102
NomJek,1043,1125199.424,730177,50,54
IvanTaa,794,1705677.5,1351241,29,16
ScarDN,434,2420744.385,1672332,65,75
DVCK_,783,1511096.571,1017869,30,39
firefountain110,847,1674917.818,867253,133,122
TAAABIIXX,828,1267778.2,920393,81,71
Beta_Lizard,717,1718053.136,1016527,96,95
Fynnit,628,1486800.947,1082108,80,84
Its_MayMay,445,2445541.333,1715232,32,28
WideAwakess,628,1768112,1157627,57,59
LexanYT,1572,725430.2586,443720,1263,1208
Depud,592,1805716,1805716,3,3
RaafisRoef,997,2436752.75,1386385,103,49
Erico_,642,1526616.5,1402644,15,15
nicomenagoro09,661,1618791.5,1114703,100,104
Gabril403,1208,1165511.875,779242,118,131
Ein_Bauer,450,2830465,2830465,16,11
Oxidiot,1851,689132.5617,438656,1517,803
Deadmememan,973,1097893.027,629015,206,236
PrincessPuma480,307,3313581,3313581,38,49
54degree5,,2613288,1537331,38,30
SilentFM_,657,1763567.385,1200458,37,31
Lpwi,906,1469882.714,1016974,63,42
iSumMeRAI,698,1752869.615,1324767,55,71
krysstal,1205,1053334.227,605365,478,467
W0Lfikk_,603,2542625,2542625,11,6
theoriginalbeb,823,1866773.941,1146989,139,133
Pigmaestro,659,2001850.214,1457472,58,54
777777777776,487,1810023,1810023,54,76
opalfruitboy,1289,1058759.884,573608,1181,1154
siddyp1,735,2201166.92,1464553,89,72
The_Kind_idiot,1010,1838242.316,1219821,35,9
RNKnight1,787,1654220.743,1007362,96,88
inkgaming_,548,2062742.375,1386806,20,16
Perseus200905,1391,1088239.683,637079,561,522
socortez,591,1650115.684,1214794,88,96
Hagop_,826,1773591.571,1184397,72,55
Krissu__,692,1611175.929,997855,128,109
Skytiko,687,2372702.375,1817725,22,13
TechnoDream13YT,1066,1075684.786,494190,835,833
CookieAddicts,1637,752934.8601,413111,2619,2533
5oup5,461,2409328.333,1502590,67,79
Gekedii,440,2554396.8,1712166,59,67
Jammieboy080,625,2624766.333,2057506,42,32
rany142,,1190881.333,822443,415,434
Gver,1296,1051509.27,635657,206,180
ruidosdehacking,687,1413071.6,984844,138,155
ccfresh,963,1380361.71,834400,58,36
ate_your_cat,576,2315240.846,1500459,29,20
bongoisstupid,668,2644312.5,1861442,13,7
nu_trino,743,1689055.2,1268187,25,18
AtomicTaco99,739,1333521.864,914555,329,379
1905eren,808,1873965.833,978832,22,6
LuisFan2,1008,1133290.116,756760,366,356
Ru55i4nBlue,722,2015633.969,1081886,91,80
uhalid,734,2222504.333,1353113,57,32
emericano,665,2019961.5,1653728,38,19
Random373,587,2681246,2057795,47,57
Omoch1107,1274,965250.7397,593327,793,781
edug,641,1625991.25,1459108,26,23
ObroMC,602,1522335.438,1099594,118,155
CloudyBlu,618,1969685.412,1336406,65,62
DuRey,673,2125119.25,1405847,66,41
Nintendiac,158,2813612.333,2550988,23,52
oTnT_,805,1989360.111,1375695,51,22
holla458,858,1308426.571,803624,122,117
carubisama,459,2077800,2077800,9,8
uInkognito,1321,950670.012,534918,592,559
JimmySR_,975,1211537.655,794183,105,141
Laeres,1168,1218715.896,778142,293,250
heyitsmejj,1184,1205782.651,754149,205,212
Haleto,598,1539060.333,1376839,36,35
KaseyOW,641,2640229.143,1787103,71,63
GoksuMemento,409,3729502,3729502,19,20
peachcinnammon,538,2257238.333,1914497,33,34
keetR41n,1108,1404338.278,860806,85,45
LackingDPS,1100,1439402.6,893285,156,129
awes__,839,1713465.05,1272938,41,30
JohnGaming05,622,2137822.2,1960960,22,20
DrKingSchulz21,625,1799600.556,1091691,56,52
Skeleyboii,497,2305264.429,1623004,48,55
yel1oo,1002,1172202.621,711364,304,313
adiXon_123,1141,1276433.6,982556,65,52
kero26,1338,1042412.172,597832,209,186
Muttonfish,683,2174175.143,1489763,33,25
walkeline,1126,1207393.154,779874,26,11
Purple0x,686,2264361.4,1887396,20,14
Energybomb,619,2345204.6,1817318,32,26
Vaering,1311,1379908.786,888688,196,132
BobbyPotatoBoi,691,1628945.636,1313925,48,69
PK_76,641,1893131.351,1202051,182,179
